Aletas,D_in_PVC (mm),D_out_PVC (mm),D_aleta (mm),Proporción Serpentín,C_coil (mm),T_out_hot (°C),UA Total (W/K),Efectividad,Altura Serpentín (m),Número de Vueltas
0,27.2,32.0,8.89,0.6,16.32,18.2496,8.1339,0.1094,0.1799,18.2174
0,27.2,32.0,9.525,0.6,16.32,18.2496,8.1339,0.1094,0.1799,18.2174
0,27.2,32.0,10.16,0.6,16.32,18.2496,8.1339,0.1094,0.1799,18.2174
0,27.2,32.0,10.795,0.6,16.32,18.2496,8.1339,0.1094,0.1799,18.2174
0,27.2,32.0,11.43,0.6,16.32,18.2496,8.1339,0.1094,0.1799,18.2174
0,27.2,32.0,12.065,0.6,16.32,18.2496,8.1339,0.1094,0.1799,18.2174
0,27.2,32.0,6.985,0.7,19.04,18.2556,8.1044,0.109,0.1557,15.6844
0,27.2,32.0,7.62,0.7,19.04,18.2556,8.1044,0.109,0.1557,15.6844
0,27.2,32.0,8.255,0.7,19.04,18.2556,8.1044,0.109,0.1557,15.6844
0,27.2,32.0,8.89,0.7,19.04,18.2556,8.1044,0.109,0.1557,15.6844
0,27.2,32.0,9.525,0.7,19.04,18.2556,8.1044,0.109,0.1557,15.6844
0,27.2,32.0,10.16,0.7,19.04,18.2556,8.1044,0.109,0.1557,15.6844
0,27.2,32.0,10.795,0.7,19.04,18.2556,8.1044,0.109,0.1557,15.6844
0,27.2,32.0,11.43,0.7,19.04,18.2556,8.1044,0.109,0.1557,15.6844
0,27.2,32.0,12.065,0.7,19.04,18.2556,8.1044,0.109,0.1557,15.6844
0,27.2,32.0,6.985,0.8,21.76,18.2609,8.0781,0.1087,0.1375,13.7638
0,27.2,32.0,7.62,0.8,21.76,18.2609,8.0781,0.1087,0.1375,13.7638
0,27.2,32.0,8.255,0.8,21.76,18.2609,8.0781,0.1087,0.1375,13.7638
0,27.2,32.0,8.89,0.8,21.76,18.2609,8.0781,0.1087,0.1375,13.7638
0,27.2,32.0,9.525,0.8,21.76,18.2609,8.0781,0.1087,0.1375,13.7638
0,27.2,32.0,10.16,0.8,21.76,18.2609,8.0781,0.1087,0.1375,13.7638
0,27.2,32.0,10.795,0.8,21.76,18.2609,8.0781,0.1087,0.1375,13.7638
0,27.2,32.0,11.43,0.8,21.76,18.2609,8.0781,0.1087,0.1375,13.7638
0,27.2,32.0,12.065,0.8,21.76,18.2609,8.0781,0.1087,0.1375,13.7638
0,27.2,32.0,6.985,0.9,24.48,18.2657,8.0542,0.1084,0.1231,12.259
0,27.2,32.0,7.62,0.9,24.48,18.2657,8.0542,0.1084,0.1231,12.259
0,27.2,32.0,8.255,0.9,24.48,18.2657,8.0542,0.1084,0.1231,12.259
0,27.2,32.0,8.89,0.9,24.48,18.2657,8.0542,0.1084,0.1231,12.259
0,27.2,32.0,9.525,0.9,24.48,18.2657,8.0542,0.1084,0.1231,12.259
0,27.2,32.0,10.16,0.9,24.48,18.2657,8.0542,0.1084,0.1231,12.259
0,27.2,32.0,10.795,0.9,24.48,18.2657,8.0542,0.1084,0.1231,12.259
0,27.2,32.0,11.43,0.9,24.48,18.2657,8.0542,0.1084,0.1231,12.259
0,27.2,32.0,12.065,0.9,24.48,18.2657,8.0542,0.1084,0.1231,12.259
0,34.0,40.0,6.985,0.3,10.2,18.8225,5.3512,0.0736,0.277,28.4177
0,34.0,40.0,7.62,0.3,10.2,18.8225,5.3512,0.0736,0.277,28.4177
