D_in_cold,D_out_cold,N_aletas,D_aleta,T_out_hot,UA_total,Efectividad
0.008,0.01,30,0.008255,18.02842650041515,9.242466924795835,0.12322334372405216
0.008,0.01,30,0.008889999999999999,17.98775220880401,9.448481626183101,0.12576548694975045
0.008,0.01,30,0.009524999999999999,17.945041893912673,9.665542112767683,0.12843488163045963
0.008,0.01,30,0.01016,17.900429681868957,9.893075522519572,0.13122314488318937
0.008,0.01,30,0.010794999999999999,17.85405567765156,10.1304744828326,0.1341215201467772
0.008,0.01,30,0.01143,17.806064882768283,10.377101052492252,0.13712094482698386
0.008,0.01,30,0.012065,17.756606071611202,10.63229098581505,0.1402121205242997
0.008,0.01,31,0.006985,18.10192900047406,8.871892900101049,0.11862943747037251
0.008,0.01,31,0.007620000000000001,18.064511651313524,9.0602632387212,0.12096802179290339
0.008,0.01,31,0.008255,18.024750762864244,9.261056586091291,0.12345307732098515
0.008,0.01,31,0.008889999999999999,17.982771827733472,9.473753920415342,0.12607676076665947
0.008,0.01,31,0.009524999999999999,17.938708481587014,9.69779374276286,0.12883071990081243
0.008,0.01,31,0.01016,17.892701493869993,9.932575409438186,0.1317061566331251
0.008,0.01,31,0.010794999999999999,17.84489767653679,10.177462932506382,0.13469389521644934
0.008,0.01,31,0.01143,17.795448732060834,10.43178917956685,0.13778445424619726
0.008,0.01,31,0.012065,17.744510062393488,10.694860398857676,0.14096812110040816
0.008,0.01,32,0.006985,18.10069197878596,8.878111363272996,0.11870675132587664
0.008,0.01,32,0.007620000000000001,18.062087300783503,9.07248779276599,0.1211195437010308
0.008,0.01,32,0.008255,18.021078811783013,9.279632623160573,0.12368257426356163
0.008,0.01,32,0.008889999999999999,17.977798438588138,9.499000935171601,0.12638759758823997
0.008,0.01,32,0.009524999999999999,17.932386445950556,9.730004030763588,0.12922584712809057
0.008,0.01,32,0.01016,17.884990354960507,9.972013011113633,0.13218810281496787
0.008,0.01,32,0.010794999999999999,17.83576377908804,10.224362835297757,0.1352647638069985
0.008,0.01,32,0.01143,17.78486520071482,10.486356785607846,0.13844592495532212
0.008,0.01,32,0.012065,17.73245671129888,10.757271260389718,0.1417214555438184
0.008,0.01,33,0.006985,18.099455381497535,8.884328312607531,0.11878403865640268
0.008,0.01,33,0.007620000000000001,18.059664589001898,9.084706475538875,0.12127096318738301
0.008,0.01,33,0.008255,18.017410641417598,9.298195050975842,0.1239118349114
0.008,0.01,33,0.008889999999999999,17.972832026889364,9.524222708362903,0.1266979983194135
0.008,0.01,33,0.009524999999999999,17.926075756862474,9.762173056210774,0.1296202651960952
0.008,0.01,33,0.01016,17.87729620967218,10.011388474751223,0.13266898689548934
0.008,0.01,33,0.010794999999999999,17.826653891755143,10.271174441262962,0.13583413176530396
0.008,0.01,33,0.01143,17.77431414094906,10.540804268580919,0.13910536619068362
0.008,0.01,33,0.012065,17.720445796532204,10.819524172305218,0.14247213771673906
0.008,0.01,34,0.006985,18.09821920839397,8.890543748657382,0.11886129947537707
0.008,0.01,34,0.007620000000000001,18.05724351433446,9.096919291268664,0.12142228035409737
0.008,0.01,34,0.008255,18.01374624602562,9.316743884487321,0.12414085962339877
0.008,0.01,34,0.008889999999999999,17.96787257819784,9.549419277824512,0.1270079638626346
0.008,0.01,34,0.009524999999999999,17.919776384287047,9.794300898341916,0.1300139759820579
0.008,0.01,34,0.01016,17.86961900277413,10.05070194709275,0.133148812326617
0.008,0.01,34,0.010794999999999999,17.817567921465866,10.31789799951757,0.13640200490838264
0.008,0.01,34,0.01143,17.76379540586322,10.595132024701545,0.13976278713355025
0.008,0.01,34,0.012065,17.708477097815035,10.881619733455516,0.14322018138656026
0.008,0.01,35,0.006985,18.096983459260514,8.896757671975013,0.11893853379621705
0.008,0.01,35,0.007620000000000001,18.054824075149156,9.109126244180109,0.1215734953031769
0.008,0.01,35,0.008255,18.01008561987618,9.33527913862335,0.12436964875773901
0.008,0.01,35,0.008889999999999999,17.962920078113598,9.57459068131611,0.12731749511789964
0.008,0.01,35,0.009524999999999999,17.91348829829326,9.826387636191766,0.13040698135666975
0.008,0.01,35,0.01016,17.861958679271822,10.089953574418326,0.13362758254551244
0.008,0.01,35,0.010794999999999999,17.808505775622734,10.364533758240913,0.13696838902357886
0.008,0.01,35,0.01143,17.75330884943139,10.649340448444597,0.14041819691053875
0.008,0.01,35,0.012065,17.696550396373482,10.943558539668443,0.1439656002266559
0.008,0.01,36,0.006985,18.095748133882694,8.902970083112617,0.1190157416323312
0.008,0.01,36,0.007620000000000001,18.052406269816174,9.121327338493902,0.12172460813649078
0.008,0.01,36,0.008255,18.006428757249807,9.353800828290412,0.1245982026718858
